timestamp,appName,UniqueUsers
2017-08-11 00:00:00.0000000,MSPaint,1182
2017-08-11 00:00:00.0000000,View3D,152
2017-08-11 00:00:00.0000000,Canvas3D,8
2017-08-11 01:00:00.0000000,MSPaint,1365
2017-08-11 01:00:00.0000000,View3D,149
2017-08-11 01:00:00.0000000,Canvas3D,6
2017-08-11 02:00:00.0000000,MSPaint,1109
2017-08-11 02:00:00.0000000,View3D,142
2017-08-11 02:00:00.0000000,Canvas3D,6
2017-08-11 03:00:00.0000000,MSPaint,927
2017-08-11 03:00:00.0000000,View3D,132
2017-08-11 03:00:00.0000000,Canvas3D,4
2017-08-11 04:00:00.0000000,MSPaint,915
2017-08-11 04:00:00.0000000,View3D,120
2017-08-11 04:00:00.0000000,Canvas3D,2
2017-08-11 05:00:00.0000000,MSPaint,883
2017-08-11 05:00:00.0000000,View3D,132
2017-08-11 05:00:00.0000000,Canvas3D,3
2017-08-11 06:00:00.0000000,MSPaint,970
2017-08-11 06:00:00.0000000,View3D,185
2017-08-11 06:00:00.0000000,Canvas3D,4
2017-08-11 07:00:00.0000000,MSPaint,1081
2017-08-11 07:00:00.0000000,View3D,159
2017-08-11 07:00:00.0000000,Canvas3D,4
2017-08-11 08:00:00.0000000,MSPaint,1099
2017-08-11 08:00:00.0000000,View3D,181
2017-08-11 08:00:00.0000000,Canvas3D,5
2017-08-11 09:00:00.0000000,MSPaint,1097
2017-08-11 09:00:00.0000000,View3D,195
2017-08-11 09:00:00.0000000,Canvas3D,5
2017-08-11 10:00:00.0000000,MSPaint,1135
2017-08-11 10:00:00.0000000,View3D,253
2017-08-11 10:00:00.0000000,Canvas3D,6
2017-08-11 11:00:00.0000000,View3D,240
2017-08-11 11:00:00.0000000,MSPaint,1304
2017-08-11 11:00:00.0000000,Canvas3D,5
2017-08-11 12:00:00.0000000,View3D,227
2017-08-11 12:00:00.0000000,MSPaint,1449
2017-08-11 12:00:00.0000000,Canvas3D,6
2017-08-11 13:00:00.0000000,MSPaint,1516
2017-08-11 13:00:00.0000000,View3D,263
2017-08-11 13:00:00.0000000,Canvas3D,2
2017-08-11 14:00:00.0000000,View3D,236
2017-08-11 14:00:00.0000000,MSPaint,1593
2017-08-11 14:00:00.0000000,Canvas3D,4
2017-08-11 15:00:00.0000000,View3D,262
2017-08-11 15:00:00.0000000,MSPaint,1520
2017-08-11 15:00:00.0000000,Canvas3D,5
2017-08-11 16:00:00.0000000,MSPaint,1515
2017-08-11 16:00:00.0000000,View3D,251
2017-08-11 16:00:00.0000000,Canvas3D,10
2017-08-11 17:00:00.0000000,MSPaint,1423
2017-08-11 17:00:00.0000000,View3D,253
2017-08-11 17:00:00.0000000,Canvas3D,14
2017-08-11 18:00:00.0000000,MSPaint,1368
2017-08-11 18:00:00.0000000,View3D,261
2017-08-11 18:00:00.0000000,Canvas3D,9
2017-08-11 19:00:00.0000000,MSPaint,1354
2017-08-11 19:00:00.0000000,View3D,243
2017-08-11 19:00:00.0000000,Canvas3D,9
2017-08-11 20:00:00.0000000,MSPaint,1217
2017-08-11 20:00:00.0000000,View3D,223
2017-08-11 20:00:00.0000000,Canvas3D,16
2017-08-11 21:00:00.0000000,MSPaint,1122
2017-08-11 21:00:00.0000000,View3D,212
2017-08-11 21:00:00.0000000,Canvas3D,11
2017-08-11 22:00:00.0000000,MSPaint,1014
2017-08-11 22:00:00.0000000,View3D,189
2017-08-11 22:00:00.0000000,Canvas3D,18
2017-08-11 23:00:00.0000000,View3D,172
2017-08-11 23:00:00.0000000,MSPaint,1034
2017-08-11 23:00:00.0000000,Canvas3D,13
